district,mandal,village,lat,long,date,value
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/01/23,4.55
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/01/23,3.85
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/01/23,9.05
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/01/23,4.22
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/01/23,5.87
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/01/23,5.87
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/01/23,4.86
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/01/23,3.6
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/01/23,4.26
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/01/23,3.84
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/01/23,2.86
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/01/23,3.41
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/01/23,3.89
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/01/23,5.31
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/01/23,4.87
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/01/23,2.76
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/01/23,11.89
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/01/23,17.29
BHUPALPALLY,Kataram,Regulagudem,79.87,18.62,01/01/23,33.81
BHUPALPALLY,Kataram,Shankarampally 125(D),79.9,18.6,01/01/23,15.14
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/01/23,15.82
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.99,18.56,01/01/23,1.73
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,01/01/23,3.67
BHUPALPALLY,Mahadevpur,Ambatipalli,80.06,18.7,01/01/23,18.04
BHUPALPALLY,Mahadevpur,Annaram,79.84,18.76,01/01/23,15.69
BHUPALPALLY,Mahadevpur,Kaleswaram,79.91,18.8,01/01/23,5.93
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/01/23,9.08
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/01/23,9.67
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.98,18.72,01/01/23,8.16
BHUPALPALLY,Malharrao,Mallaram,79.79,18.56,01/01/23,3.97
BHUPALPALLY,Mogullapalle,Aknepally,79.61,18.36,01/01/23,4.7
BHUPALPALLY,Mogullapalle,Rangapur,79.69,18.27,01/01/23,5.26
BHUPALPALLY,Palmela,Kamanpally,80.25,18.63,01/01/23,2.42
BHUPALPALLY,Palmela,Lenkalagadda,80.13,18.67,01/01/23,8.19
BHUPALPALLY,Palmela,Sarvaipet,80.24,18.68,01/01/23,11.23
BHUPALPALLY,Regonda,Gorikothapally,79.81,18.18,01/01/23,3.91
BHUPALPALLY,Regonda,Regonda,79.78,18.24,01/01/23,3.82
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.63,18.42,01/01/23,4.02
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45,17.45,01/01/23,
HYDERABAD,Ammerpet,S.R.Nagar,78.44,17.44,01/01/23,21.13
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.43,17.45,01/01/23,15.3
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.45,17.38,01/01/23,6.69
HYDERABAD,Asifnagar,Himayanagar,78.45,17.4,01/01/23,2.75
HYDERABAD,Asifnagar,Kulsanapur,78.44,17.37,01/01/23,4.3
HYDERABAD,Bandlaguda,Chandraingutta,78.48,17.33,01/01/23,12.32
HYDERABAD,Bandlaguda,Bahadurpura,78.46,17.35,01/01/23,2.25
HYDERABAD,Charminar,Darul Shifa,78.49,17.38,01/01/23,5.9
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.48,17.41,01/01/23,5.53
HYDERABAD,Himayatnagar,Indira Park,78.5,17.4,01/01/23,3
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/01/23,7.31
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/01/23,7.46
HYDERABAD,Khairatabad,Khairathabad,78.46,17.41,01/01/23,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.41,01/01/23,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.51,17.43,01/01/23,5.26
HYDERABAD,Maredpally,Maredpally(s),78.51,17.44,01/01/23,9.85
HYDERABAD,Musheerabad,Musheerabad,78.51,17.42,01/01/23,6.27
HYDERABAD,Nampally,Nampally,78.47,17.39,01/01/23,3.45
HYDERABAD,Saidabad,Juvinile home,78.51,17.36,01/01/23,4.3
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.48,17.44,01/01/23,3.4
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/01/23,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.42,17.41,01/01/23,3.45
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.49,17.46,01/01/23,7.19
JAGITYAL,Beerpur,Kandlapalle,78.96,19.03,01/01/23,2.84
JAGITYAL,Dharmapuri,Dharmapuri,79.1,18.95,01/01/23,4.79
JAGITYAL,Dharmapuri,Jaina,79.08,19.01,01/01/23,6.47
JAGITYAL,Gollapalle,Gollapalli,79.05,18.79,01/01/23,5.12
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.58,18.9,01/01/23,2.81
JAGITYAL,Jagtial,Jagityal,78.85,18.83,01/01/23,6.67
JAGITYAL,Jagityal_Rural,Morapally,78.89,18.79,01/01/23,3.44
JAGITYAL,Kathlapur,Kathalapur,78.69,18.75,01/01/23,2.82
JAGITYAL,Kodimial,Chepial,78.94,18.62,01/01/23,6.69
JAGITYAL,Koratla,Ilapur,78.7,18.86,01/01/23,6.81
JAGITYAL,Koratla,Korutla,78.71,18.82,01/01/23,8.24
JAGITYAL,Mallapur,Mallapur,78.71,18.96,01/01/23,5.88
JAGITYAL,Mallapur,VV Raopet,78.77,18.99,01/01/23,5.79
JAGITYAL,Malial,Nukapalli,78.92,18.71,01/01/23,3.54
JAGITYAL,Medipalle,Desaipet,78.45427,18.42,01/01/23,1.64
JAGITYAL,Medipalle,Katlakunta,78.81,18.84,01/01/23,1.9
JAGITYAL,Medipalle,Rangapur,78.79,18.76,01/01/23,3.16
JAGITYAL,Metpalle,Metpalli,78.62,18.85,01/01/23,
JAGITYAL,Metpalle,Atmakur,78.62,18.75,01/01/23,8.17
JAGITYAL,Metpalle,Bandalingapur,78.59,18.83,01/01/23,6.73
JAGITYAL,Metpalle,Metla Chittapur,78.59,18.78,01/01/23,2.8
JAGITYAL,Pegadapalle,Pegadapalli,79.06,18.71,01/01/23,3.98
JAGITYAL,Raikal,Bornapally,78.82,19.03,01/01/23,3.63
JAGITYAL,Raikal,Itikyal,78.76,18.92,01/01/23,2.38
JAGITYAL,Raikal,Raikal,78.8,18.91,01/01/23,2.73
JAGITYAL,Raikal,Vodde lingapur,78.84,18.96,01/01/23,1.26
JAGITYAL,Sarangapur,Rachapalli,78.93,18.93,01/01/23,4.32
JAGITYAL,Sarangapur,Sarangapur,78.96,18.93,01/01/23,4.8
JAGITYAL,Velgatoor,Chegyam,79.27,18.81,01/01/23,2.39
JAGITYAL,Velgatoor,Stambampally,79.16,18.86,01/01/23,1.87
JAGITYAL,Velgatoor,Velgatur,79.17,18.84,01/01/23,4.28
JANGAON,Bachannapeta,Bachannapet,79.04,17.79,01/01/23,4.57
JANGAON,Bachannapeta,Padamati Keshapur,78.94,17.84,01/01/23,6.8
JANGAON,Chilpur,Kistajigudem,79.3,17.88,01/01/23,6.8
JANGAON,Chilpur,Malkapur,79.31,17.93,01/01/23,7.55
JANGAON,Devaruppala,Devaruppula,79.36,17.54,01/01/23,1.36
JANGAON,Devaruppala,Singarajupalli,79.27,17.59,01/01/23,3.83
JANGAON,Ganpur_stn,Chagal,79.36,17.84,01/01/23,11.1
JANGAON,Ganpur_stn,Namiligonda,79.4,17.83,01/01/23,2.45
JANGAON,Jangaon,Jangaon,79.15,17.7,01/01/23,3.39
JANGAON,Jangaon,Siddanki,79.1,17.77,01/01/23,7.9
JANGAON,Kodakandla,Kodakandla,79.51,17.53,01/01/23,6.95
JANGAON,Lingalaghanpur,Jeedikal,79.16,17.61,01/01/23,4.49
JANGAON,Lingalaghanpur,Lingala ghanpur,79.2,17.66,01/01/23,4.94
JANGAON,Lingalaghanpur,Vadicherla,79.24,17.66,01/01/23,1.15
JANGAON,Narmetta,Machupahad,79.22,17.87,01/01/23,7.73
JANGAON,Narmetta,Veldanda,79.12,17.86,01/01/23,5.4
JANGAON,Palakurthi,Gudur,79.41,17.74,01/01/23,2.6
JANGAON,Palakurthi,Palakurthi,79.42,17.67,01/01/23,5.7
JANGAON,Raghunathpalle,Ibrahimpur,79.23,17.76,01/01/23,9.9
JANGAON,Raghunathpalle,Nidigonda,79.23,17.73,01/01/23,3
JANGAON,Raghunathpalle,Raghunadhapalli,79.26,17.76,01/01/23,6.84
JANGAON,Tharigoppula,Tarigopulla,79.18,17.94,01/01/23,5.35
JANGAON,Zaffergadh,Kunur,79.48,17.85,01/01/23,12.51
JANGAON,Zaffergadh,Zafergad,79.49,17.77,01/01/23,5.75
JOGULAMBA(GADWAL),Alampur,Alampur,78.12,15.9,01/01/23,2.53
JOGULAMBA(GADWAL),Dharur,Dharoor,77.68,16.22,01/01/23,5.01
JOGULAMBA(GADWAL),Dharur,Neelahally,77.64,16.27,01/01/23,4.95
JOGULAMBA(GADWAL),Gadwal,Gadwal,77.8,16.23,01/01/23,1.61
JOGULAMBA(GADWAL),Ghattu,Allor,77.63,16.18,01/01/23,5.51
JOGULAMBA(GADWAL),Ghattu,Gattu,77.58,16.13,01/01/23,1.94
JOGULAMBA(GADWAL),Ghattu,Induvasi,77.52,16.04,01/01/23,
JOGULAMBA(GADWAL),Aiza,Eklaspur,77.65,16.05,01/01/23,2.21
JOGULAMBA(GADWAL),Aiza,Ieeza,77.67,16.02,01/01/23,8.99
JOGULAMBA(GADWAL),Itikyal,Kodandapur,77.57,16.25,01/01/23,10.64
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kondapur,77.83,16.07,01/01/23,4.36
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kuchinerla,77.53,16.18,01/01/23,1.51
JOGULAMBA(GADWAL),Maldakal,Maldakal,77.69,16.13,01/01/23,1.68
JOGULAMBA(GADWAL),Manopad,Manopad,77.95,15.97,01/01/23,2.52
JOGULAMBA(GADWAL),Undavelli,Pullur,78.01,15.92,01/01/23,18.67
JOGULAMBA(GADWAL),Undavelli,Undavally,78.04,15.93,01/01/23,3
JOGULAMBA(GADWAL),Waddepalle,Santhinagar,77.84,15.94,01/01/23,0.43
KAMAREDDY,Banswada,Bansawada,77.88,18.39,01/01/23,6.52
KAMAREDDY,Banswada,Budimi,77.89,18.34,01/01/23,2.22
KAMAREDDY,Bhiknur,Bhiknoor,78.4,18.2,01/01/23,3.03
KAMAREDDY,Bhiknur,Issannapally,78.48,18.14,01/01/23,4.67
KAMAREDDY,Bhiknur,P.D.Mallareddy,78.45,18.17,01/01/23,16.62
KAMAREDDY,Bibipet,Bibipet,78.52,18.21,01/01/23,11.32
KAMAREDDY,Bichkunda,Pulkal,77.77,18.4,01/01/23,3.16
KAMAREDDY,Birkoor,Birkur,77.8,18.47,01/01/23,8.96
KAMAREDDY,Domakonda,Domakonda,78.44,18.25,01/01/23,11.54
KAMAREDDY,Gandhari,Gandhari,78.11,18.4,01/01/23,15.77
KAMAREDDY,Gandhari,Ramlaxmanpally,78.13,18.32,01/01/23,12.37
KAMAREDDY,Gandhari,Sarvapoor,77.99,18.36,01/01/23,10.88
KAMAREDDY,Jukkal,Jukkal,77.6,18.36,01/01/23,2.86
KAMAREDDY,Jukkal,Savargao,77.65,18.32,01/01/23,3.13
KAMAREDDY,Kamareddy,Adloor,78.34,18.34,01/01/23,10.29
KAMAREDDY,Kamareddy,Narasannapally,78.36,18.27,01/01/23,10.97
KAMAREDDY,Lingampet,Bhavanipet,78.06,18.28,01/01/23,9.62
KAMAREDDY,Lingampet,Khannapur,78.16,18.19,01/01/23,14.09
KAMAREDDY,Lingampet,Mothe,78.17,18.31,01/01/23,8.96
KAMAREDDY,Machareddy,Machareddy,78.49,18.33,01/01/23,5.66
KAMAREDDY,Madnur,Menoor,77.65,18.48,01/01/23,7.49
KAMAREDDY,Madnur,SOMUR,77.6,18.42,01/01/23,3.35
KAMAREDDY,Naga_Reddipet,Banjara Thanda,78.08,18.14,01/01/23,16.07
KAMAREDDY,Naga_Reddipet,Malthummeda,78.14,18.11,01/01/23,7.37
KAMAREDDY,Naga_Reddipet,Nasurullabad,77.87,18.47,01/01/23,3.7
KAMAREDDY,Nizamsagar,Achampet,77.93,18.21,01/01/23,7.44
KAMAREDDY,Nizamsagar,Mohammadnagar,77.91,18.29,01/01/23,4.06
KAMAREDDY,Pedda Kodapgal,Shanthapur,77.73,18.33,01/01/23,5.04
KAMAREDDY,Pedda Kodapgal,Maddela Cheruvu,77.85,18.35,01/01/23,10.28
KAMAREDDY,Rajampet,Argonda,78.27,18.23,01/01/23,5.03
KAMAREDDY,Rajampet,Kondapur,78.29,18.18,01/01/23,8.37
KAMAREDDY,Ramareddy,Reddypet,78.42,18.41,01/01/23,9.59
KAMAREDDY,Sadasivanagar,Sadasivanagar,78.26,18.41,01/01/23,8.53
KAMAREDDY,Tadwai,Yerrapahad,78.22,18.29,01/01/23,2.41
KAMAREDDY,Tadwai,Annaram,78.24,18.35,01/01/23,15.58
KAMAREDDY,Yellareddy,Yellareddy,78.02,18.19,01/01/23,9.66
KAMAREDDY,Banswada,HANMAJIPET ,78,18.43,01/01/23,6.82
KAMAREDDY,Bhiknur,KACHAPOOR ,78.45,18.19,01/01/23,11.86
KAMAREDDY,Bhiknur,MALLUPALLY ,78.45,18.16,01/01/23,15.49
KAMAREDDY,Bichkunda,DOULTHAPUR ,77.7,18.38,01/01/23,5.42
KAMAREDDY,Bichkunda,GUNDE NEMLI ,77.81,18.36,01/01/23,
KAMAREDDY,Bichkunda,PD DADGI ,77.74,18.37,01/01/23,19.68
KAMAREDDY,Domakonda,AMBERPET ,78.49,18.26,01/01/23,6.31
KAMAREDDY,Domakonda,ANCHANOOR ,78.46,18.24,01/01/23,14.25
KAMAREDDY,Gandhari,CHADMAL ,78.08,18.46,01/01/23,37.25
KAMAREDDY,Gandhari,GURJAL ,78.14,18.36,01/01/23,13.39
KAMAREDDY,Lingampet,LINGAMPET ,78.13,18.24,01/01/23,2.9
KAMAREDDY,Lingampet,PARMALLA,78.13,18.2,01/01/23,8.14
KAMAREDDY,Machareddy,RAJKHANPET ,78.52,18.36,01/01/23,6.79
KAMAREDDY,Madnur,MADNOOR ,77.63,18.5,01/01/23,5.76
KAMAREDDY,Madnur,RUSEGAON,77.68,18.44,01/01/23,1.93
KAMAREDDY,Naga_Reddipet,WADALPARTHY ,78.15,18.14,01/01/23,14.67
KAMAREDDY,Naga_Reddipet,BOMMADEVPALLY ,77.9,18.47,01/01/23,1.53
KAMAREDDY,Naga_Reddipet,BOPPASPALLY ,77.84,18.49,01/01/23,3.96
KAMAREDDY,Naga_Reddipet,MIRZAPUR ,77.84,18.45,01/01/23,4.71
KAMAREDDY,Nizamsagar,BURGUL ,77.94,18.26,01/01/23,3.53
KAMAREDDY,Nizamsagar,NARVA ,77.97,18.26,01/01/23,1.56
KAMAREDDY,Nizamsagar,VELGANOOR ,77.87,18.2,01/01/23,10.78
KAMAREDDY,Pedda Kodapgal,CHILLARGI ,77.83,18.29,01/01/23,9.22
KAMAREDDY,Pedda Kodapgal,GODMAGAON ,77.76,18.23,01/01/23,10.65
KAMAREDDY,Pedda Kodapgal,KURTHI / RAMPUR,77.88,18.3,01/01/23,4.5
KAMAREDDY,Pedda Kodapgal,NAGAMPALLY ,77.85,18.25,01/01/23,8.74
KAMAREDDY,Pedda Kodapgal,PITLAM ,77.84,18.23,01/01/23,9.79
KAMAREDDY,Rajampet,SIDDAPOOR ,78.24,18.17,01/01/23,14.26
KAMAREDDY,Ramareddy,DEVANPALLE ,78.44,18.33,01/01/23,12.14
KAMAREDDY,Sadasivanagar,PADMAJI WADA ,78.24,18.43,01/01/23,13.37
KAMAREDDY,Sadasivanagar,UTNOOR ,78.19,18.44,01/01/23,8.72
KAMAREDDY,Tadwai,KANKAL,78.22,18.34,01/01/23,28.94
KAMAREDDY,Yellareddy,THIMMAREDDY ,78,18.24,01/01/23,13.93
KAMAREDDY,Yellareddy,YELLAREDDY ,78.01,18.2,01/01/23,9.66
KARIMNAGAR,Chigurumamidi,Bommanapalli,79.23,18.21,01/01/23,
KARIMNAGAR,Chigurumamidi,Chigurumamidi,79.15,18.26,01/01/23,5.65
KARIMNAGAR,Chigurumamidi,Ramancha,79.2,18.24,01/01/23,10.35
KARIMNAGAR,Choppadandi,Rukmapur,79.15,18.53,01/01/23,9.58
KARIMNAGAR,Ellandakunta,Illanthukunta ,79.51,18.3,01/01/23,3.78
KARIMNAGAR,Gangadhara,Burugupally,79.03,18.64,01/01/23,7.13
KARIMNAGAR,Gangadhara,Gangadhara,79.01,18.58,01/01/23,20.82
KARIMNAGAR,Gannervaram,Mylaram,79.078,18.368,01/01/23,6.8
KARIMNAGAR,Huzurabad,Huzurabad,79.41,18.19,01/01/23,4.45
KARIMNAGAR,Jammikunta,Vavilala,79.55,18.4,01/01/23,3.07
KARIMNAGAR,Karimnagar (Rural-I),Nagnur,79.14,18.5,01/01/23,3.37
KARIMNAGAR,Karimnagar,Karimnagar,79.13,18.44,01/01/23,6.45
KARIMNAGAR,Shankarapatnam,Thadikal,79.29,18.31,01/01/23,5.05
KARIMNAGAR,Manakondur,Laxmipur,79.29,18.45,01/01/23,3.89
KARIMNAGAR,Ramadugu,Gundi,79.09,18.62,01/01/23,6.78
KARIMNAGAR,V_Saidapur,Saidapur,79.31,18.21,01/01/23,2.77
KARIMNAGAR,Thimmapur,Alugunur,79.15,18.4,01/01/23,4.23
KARIMNAGAR,Thimmapur,Nedunur,79.14,18.31,01/01/23,8.6
KARIMNAGAR,Veenavanka,Veenavanka,79.42,18.35,01/01/23,3.53
KHAMMAM,Bonakal,Mustikunta,80.22,17.04,01/01/23,1.77
KHAMMAM,Bonakal,Pedabeeravalli,80.3,17.05,01/01/23,1.45
KHAMMAM,Chinthakani,Pandillapalli,80.18,17.15,01/01/23,2.52
KHAMMAM,Enkuru,Enkoor,80.44,17.33,01/01/23,5.36
KHAMMAM,Enkuru,Timmaraopeta,80.37,17.37,01/01/23,2.22
KHAMMAM,Kalluru,Kallur,80.55,17.21,01/01/23,2.3
KHAMMAM,Kamepalle,Kothalingala,80.24,17.43,01/01/23,5.3
KHAMMAM,Kamepalle,Ootkuru,80.3,17.46,01/01/23,6.76
KHAMMAM,Khammam_Rural,Theerthala,80.14,17.37,01/01/23,2.05
KHAMMAM,Khammam_Rural,M.V.Palem,80.1,17.3,01/01/23,3.88
KHAMMAM,Khammam_Urban,Khammam I,80.13,17.23,01/01/23,0.8
KHAMMAM,Khammam_Urban,Khammam-II,80.14,17.25,01/01/23,1.65
KHAMMAM,Konijerla,Gubbagurthi,80.36,17.28,01/01/23,2.41
KHAMMAM,Konijerla,Konijerla,80.29,17.22,01/01/23,1.98
KHAMMAM,Kusumanchi,Jakkapally,79.97,17.14,01/01/23,1.68
KHAMMAM,Kusumanchi,Kusumanchi,79.96,17.22,01/01/23,8.55
KHAMMAM,Madhira,Madhira,80.37,16.92,01/01/23,5.72
KHAMMAM,Madhira,Nidhanapuram,80.42,16.92,01/01/23,6.78
KHAMMAM,Mudigonda,Banapuram,80.12,17.06,01/01/23,0.42
KHAMMAM,Mudigonda,Mudigonda,80.1,17.19,01/01/23,2.09
KHAMMAM,Nelakondapalle,Bodulabanda,80.02,17.09,01/01/23,1.9
KHAMMAM,Nelakondapalle,Buddaram,80.06,17.02,01/01/23,2.87
KHAMMAM,Penuballi,Lankapalli,80.74,17.2,01/01/23,9.52
KHAMMAM,Penuballi,Lingagudem,80.66,17.26,01/01/23,
