district,mandal,village,lat,long,date,value
ADILABAD,Adilabad,Adilabad,19.668299,78.5247,01/09/21,2.65
ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,01/09/21,2.75
ADILABAD,Bela,Chandpally,19.684431,78.848456,01/09/21,6.8
ADILABAD,Bheempur,Arli,19.83196,78.37931,01/09/21,6.7
ADILABAD,Bheempur,Bheempur,19.772188,78.417841,01/09/21,5.02
ADILABAD,Boath,Boath,19.342416,78.316527,01/09/21,2.45
ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,01/09/21,2.75
ADILABAD,Jainath,Bhoraj,19.739722,78.546472,01/09/21,3.1
ADILABAD,Jainath,Jainath,19.730555,78.64,01/09/21,1
ADILABAD,Narnoor,Narnoor,19.495665,78.852654,01/09/21,0.83
ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,01/09/21,1.4
ADILABAD,Talamadugu,Devapur,19.612944,78.463111,01/09/21,3
ADILABAD,Talamadugu,Talamadugu,19.6334,78.396899,01/09/21,3.15
ADILABAD,Tamsi,Tamsi,19.6811,78.426799,01/09/21,1.75
ADILABAD,Utnoor,Utnoor,19.367777,78.782777,01/09/21,1.5
BHADRADRI,Allapalli,Allapalli,17.82975,80.475008,01/09/21,3.98
BHADRADRI,Allapalli,Markodu,17.91444,80.507666,01/09/21,2.87
BHADRADRI,Annapureddypalli,Annapureddypalli,17.355422,80.82226,01/09/21,13.01
BHADRADRI,Ashwapuram,Ammagaripalli,17.865166,80.85051,01/09/21,0.65
BHADRADRI,Ashwapuram,Aswapuram,17.847626,80.803745,01/09/21,4.77
BHADRADRI,Ashwapuram,Aswapuram,17.835944,80.825667,01/09/21,2.93
BHADRADRI,Ashwapuram,ASWARAOPET (D),17.243444,81.109888,01/09/21,31.32
BHADRADRI,Aswaraopet (S),Aswaraopet (S),17.244199,81.110599,01/09/21,31.26
BHADRADRI,Aswaraopeta,Duradapadu,17.43166,81.090311,01/09/21,3.43
BHADRADRI,Aswaraopeta,Gummadivalli,17.416861,81.178305,01/09/21,1.28
BHADRADRI,Aswaraopeta,NANDIPADU,17.455835,81.128705,01/09/21,0.79
BHADRADRI,Aswaraopeta,Vinayakapuram,17.34561,81.12147,01/09/21,7.32
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,01/09/21,2.55
BHADRADRI,Burgampad,Krishnasagar,17.709524,80.811524,01/09/21,3.44
BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,01/09/21,1.76
BHADRADRI,Chandrugonda,Cherla,18.07449,80.83124,01/09/21,0.43
BHADRADRI,Chandrugonda,Maddukuru,17.356111,80.675527,01/09/21,19.32
BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,01/09/21,3.86
BHADRADRI,Cherla,Chinmedisileru,18.061388,80.853833,01/09/21,3.18
BHADRADRI,Chunchupalli,Chunchupalli,17.536377,80.612734,01/09/21,1.1
BHADRADRI,Dammapeta,Malkaram,17.310587,81.038879,01/09/21,8.97
BHADRADRI,Dammapeta,Mandalapalli,17.235972,81.008986,01/09/21,40.79
BHADRADRI,Dammapeta,Patwarigudem,17.346638,80.9629722,01/09/21,11.1
BHADRADRI,Dummugudem,Bandirevu,17.921194,80.9155,01/09/21,1.78
BHADRADRI,Dummugudem,Dummugudem,17.8523,80.8937,01/09/21,0.42
BHADRADRI,Gundala,Gundala,17.906,80.33055,01/09/21,1.9
BHADRADRI,Gundala,Kanchanapalli,17.792225,80.42243,01/09/21,1.25
BHADRADRI,Gundala,Mamakannu,17.865819,80.412727,01/09/21,5.72
BHADRADRI,Gundala,Sainapalli,17.95777,80.34505,01/09/21,1.83
BHADRADRI,Gundala,Settupalli,17.810477,80.303583,01/09/21,0
BHADRADRI,Julurpadu,P. Narsapuram,17.44733,80.526444,01/09/21,7.55
BHADRADRI,Julurpadu,Papakollu,17.4183,80.4828,01/09/21,1.5
BHADRADRI,Kalvala nagaram*,karakagudem,18.014193,80.619051,01/09/21,1.82
BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,01/09/21,0.93
BHADRADRI,Kothagudem,Kothagudem,17.544858,80.61844,01/09/21,18.47
BHADRADRI,Laxmidevipalli,Bangaruchelka,17.756305,80.602444,01/09/21,0.72
BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.563756,80.624863,01/09/21,2.86
BHADRADRI,Manuguru,Manuguru,17.955072,80.83008,01/09/21,1.33
BHADRADRI,Manuguru,Pagideru,17.970111,80.73386,01/09/21,0.75
BHADRADRI,Mulakalapalli,Mulakalapalli (D),17.5036,80.831899,01/09/21,4.46
BHADRADRI,Mulakalapalli,MULAKALAPALLI (S),17.419666,80.481383,01/09/21,4.84
BHADRADRI,Mulakalapalli,N. Jaganadhapuram,17.4343055,80.86475,01/09/21,5
BHADRADRI,Mulakalapalli,Pusugudem            (Pakeer thanda),17.541869,80.763222,01/09/21,0.56
BHADRADRI,Mulakalapalli,Thimmampet,17.541769,80.9327222,01/09/21,2.46
BHADRADRI,Palwancha,Danthalaboru,17.586194,80.839666,01/09/21,2.97
BHADRADRI,Palwancha,Pathapalwancha,17.540083,80.503527,01/09/21,2.07
BHADRADRI,Palwancha,REGELLA,17.949174,80.576312,01/09/21,0.88
BHADRADRI,Palwancha,Ulavanoor,17.780799,80.679199,01/09/21,2.19
BHADRADRI,Palwancha,Yanmbailu,17.678111,80.663944,01/09/21,2.56
BHADRADRI,Pinapaka,Dugenepalli,18.12886,80.64669,01/09/21,4.38
BHADRADRI,Pinapaka,Potlapalli ,18.038255,80.684305,01/09/21,4.12
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),17.5277166,80.58608,01/09/21,1.97
BHADRADRI,Sujathanagar,Sujathanagar,17.48378,80.57759,01/09/21,3.39
BHADRADRI,Tekulapalli,Bethampudi,17.564333,80.449277,01/09/21,4.45
BHADRADRI,Tekulapalli,Bodu,17.674399,80.443599,01/09/21,2.91
BHADRADRI,Tekulapalli,Mutyalampadu,17.540083,80.503522,01/09/21,3.26
BHADRADRI,Tekulapalli,Sulanagar,17.543558,80.501917,01/09/21,0.64
BHADRADRI,Yellandu,Komararam,17.707922,80.317501,01/09/21,0.58
BHADRADRI,Yellandu,Narayanapuram D,17.5125,80.374999,01/09/21,1.94
