district,mandal,village,lat,long,date,value
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/02/23,4.84
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/02/23,4.5
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/02/23,12.5
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/02/23,7.92
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/02/23,8.86
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/02/23,8.94
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/02/23,5.19
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/02/23,4.01
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/02/23,4.89
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/02/23,4.28
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/02/23,2.49
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/02/23,4.19
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/02/23,7.58
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/02/23,5.97
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/02/23,5.29
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/02/23,5.92
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/02/23,14.92
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/02/23,17.64
BHUPALPALLY,Kataram,Regulagudem,79.87,18.62,01/02/23,38.26
BHUPALPALLY,Kataram,Shankarampally 125(D),79.9,18.6,01/02/23,16.12
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/02/23,17.98
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.99,18.56,01/02/23,2.61
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,01/02/23,4.28
BHUPALPALLY,Mahadevpur,Ambatipalli,80.06,18.7,01/02/23,19.11
BHUPALPALLY,Mahadevpur,Annaram,79.84,18.76,01/02/23,16.23
BHUPALPALLY,Mahadevpur,Kaleswaram,79.91,18.8,01/02/23,6.32
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/02/23,9.39
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/02/23,10.12
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.98,18.72,01/02/23,8.74
BHUPALPALLY,Malharrao,Mallaram,79.79,18.56,01/02/23,4.49
BHUPALPALLY,Mogullapalle,Aknepally,79.61,18.36,01/02/23,4.28
BHUPALPALLY,Mogullapalle,Rangapur,79.69,18.27,01/02/23,5.87
BHUPALPALLY,Palmela,Kamanpally,80.25,18.63,01/02/23,2.63
BHUPALPALLY,Palmela,Lenkalagadda,80.13,18.67,01/02/23,9.31
BHUPALPALLY,Palmela,Sarvaipet,80.24,18.68,01/02/23,13.19
BHUPALPALLY,Regonda,Gorikothapally,79.81,18.18,01/02/23,4.59
