district,mandal,village,lat,long,date,value
BHADRADRI,Tekulapalle,Bodu,80.44,17.67,01/06/23,5.11
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/06/23,6.52
BHADRADRI,Tekulapalle,Sulanagar,80.5,17.54,01/06/23,13.86
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/06/23,7.66
BHADRADRI,Yellandu,Narayanapuram D,80.38,17.51,01/06/23,7.38
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/06/23,7.39
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/06/23,6.82
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/06/23,5.54
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.88,18.44,01/06/23,6.24
BHUPALPALLY,Bhupalpalle,Gudadpally,79.81,18.39,01/06/23,6.91
BHUPALPALLY,Bhupalpalle,Nandigama,80.06,18.5,01/06/23,2.14
BHUPALPALLY,Chityal,Chityala,79.67,18.34,01/06/23,5.19
BHUPALPALLY,Chityal,Jadalpet,79.74,18.38,01/06/23,16.27
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.85,18.37,01/06/23,6.92
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.84,18.38,01/06/23,6.49
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.89,18.3,01/06/23,5.18
BHUPALPALLY,Kataram,Jadaraopet,79.88,18.7,01/06/23,16.12
BHUPALPALLY,Kataram,Medipally,79.92,18.55,01/06/23,22.16
BHUPALPALLY,Kataram,Regulagudem,79.87,18.62,01/06/23,38.24
BHUPALPALLY,Kataram,Shankarampally 125(D),79.9,18.6,01/06/23,17.84
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/06/23,18.26
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.99,18.56,01/06/23,2.21
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.15,18.57,01/06/23,5.02
BHUPALPALLY,Mahadevpur,Ambatipalli,80.06,18.7,01/06/23,19.87
BHUPALPALLY,Mahadevpur,Annaram,79.84,18.76,01/06/23,21.83
BHUPALPALLY,Mahadevpur,Kaleswaram,79.91,18.8,01/06/23,8.74
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/06/23,10.21
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/06/23,9.59
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.98,18.72,01/06/23,9.11
BHUPALPALLY,Malharrao,Mallaram,79.79,18.56,01/06/23,5.36
BHUPALPALLY,Mogullapalle,Aknepally,79.61,18.36,01/06/23,7.14
BHUPALPALLY,Mogullapalle,Rangapur,79.69,18.27,01/06/23,6.57
BHUPALPALLY,Palmela,Kamanpally,80.25,18.63,01/06/23,3.09
BHUPALPALLY,Palmela,Lenkalagadda,80.13,18.67,01/06/23,13.69
BHUPALPALLY,Palmela,Sarvaipet,80.24,18.68,01/06/23,14.98
BHUPALPALLY,Regonda,Gorikothapally,79.81,18.18,01/06/23,6.87
BHUPALPALLY,Regonda,Regonda,79.78,18.24,01/06/23,7.21
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.63,18.42,01/06/23,6.72
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45,17.45,01/06/23,
HYDERABAD,Ammerpet,S.R.Nagar,78.44,17.44,01/06/23,21.58
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.43,17.45,01/06/23,18.5
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.45,17.38,01/06/23,7.61
HYDERABAD,Asifnagar,Himayanagar,78.45,17.4,01/06/23,3.19
HYDERABAD,Asifnagar,Kulsanapur,78.44,17.37,01/06/23,10.12
HYDERABAD,Bandlaguda,Chandraingutta,78.48,17.33,01/06/23,16.39
HYDERABAD,Bandlaguda,Bahadurpura,78.46,17.35,01/06/23,2.61
HYDERABAD,Charminar,Darul Shifa,78.49,17.38,01/06/23,8.02
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.48,17.41,01/06/23,6.7
HYDERABAD,Himayatnagar,Indira Park,78.5,17.4,01/06/23,3.64
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/06/23,8.09
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.45,17.43,01/06/23,8.28
HYDERABAD,Khairatabad,Khairathabad,78.46,17.41,01/06/23,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.41,01/06/23,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.51,17.43,01/06/23,7.61
HYDERABAD,Maredpally,Maredpally(s),78.51,17.44,01/06/23,15.06
HYDERABAD,Musheerabad,Musheerabad,78.51,17.42,01/06/23,8
HYDERABAD,Nampally,Nampally,78.47,17.39,01/06/23,4.21
HYDERABAD,Saidabad,Juvinile home,78.51,17.36,01/06/23,4.7
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.48,17.44,01/06/23,
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/06/23,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.42,17.41,01/06/23,4.6
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.49,17.46,01/06/23,14.78
JAGITYAL,Beerpur,Kandlapalle,78.96,19.03,01/06/23,3.09
JAGITYAL,Dharmapuri,Dharmapuri,79.1,18.95,01/06/23,7.44
JAGITYAL,Dharmapuri,Jaina,79.08,19.01,01/06/23,9.15
JAGITYAL,Gollapalle,Gollapalli,79.05,18.79,01/06/23,5.84
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.58,18.9,01/06/23,4.57
JAGITYAL,Jagtial,Jagityal,78.85,18.83,01/06/23,8.56
JAGITYAL,Jagityal_Rural,Morapally,78.89,18.79,01/06/23,4.08
JAGITYAL,Kathlapur,Kathalapur,78.69,18.75,01/06/23,3.47
JAGITYAL,Kodimial,Chepial,78.94,18.62,01/06/23,8.26
JAGITYAL,Koratla,Ilapur,78.7,18.86,01/06/23,10.92
JAGITYAL,Koratla,Korutla,78.71,18.82,01/06/23,10.67
JAGITYAL,Mallapur,Mallapur,78.71,18.96,01/06/23,7.76
JAGITYAL,Mallapur,VV Raopet,78.77,18.99,01/06/23,8.77
JAGITYAL,Malial,Nukapalli,78.92,18.71,01/06/23,7.19
JAGITYAL,Medipalle,Desaipet,78.45427,18.42,01/06/23,3.39
JAGITYAL,Medipalle,Katlakunta,78.81,18.84,01/06/23,3.38
JAGITYAL,Medipalle,Rangapur,78.79,18.76,01/06/23,4.77
JAGITYAL,Metpalle,Metpalli,78.62,18.85,01/06/23,
JAGITYAL,Metpalle,Atmakur,78.62,18.75,01/06/23,9.35
JAGITYAL,Metpalle,Bandalingapur,78.59,18.83,01/06/23,6.12
JAGITYAL,Metpalle,Metla Chittapur,78.59,18.78,01/06/23,3.35
JAGITYAL,Pegadapalle,Pegadapalli,79.06,18.71,01/06/23,5.16
JAGITYAL,Raikal,Bornapally,78.82,19.03,01/06/23,5.35
JAGITYAL,Raikal,Itikyal,78.76,18.92,01/06/23,3.13
JAGITYAL,Raikal,Raikal,78.8,18.91,01/06/23,3.65
JAGITYAL,Raikal,Vodde lingapur,78.84,18.96,01/06/23,3.34
JAGITYAL,Sarangapur,Rachapalli,78.93,18.93,01/06/23,6.32
JAGITYAL,Sarangapur,Sarangapur,78.96,18.93,01/06/23,7.25
JAGITYAL,Velgatoor,Chegyam,79.27,18.81,01/06/23,3.49
JAGITYAL,Velgatoor,Stambampally,79.16,18.86,01/06/23,3.32
JAGITYAL,Velgatoor,Velgatur,79.17,18.84,01/06/23,5.37
JANGAON,Bachannapeta,Bachannapet,79.04,17.79,01/06/23,5.54
JANGAON,Bachannapeta,Padamati Keshapur,78.94,17.84,01/06/23,8.7
JANGAON,Chilpur,Kistajigudem,79.3,17.88,01/06/23,9.7
JANGAON,Chilpur,Malkapur,79.31,17.93,01/06/23,9.3
JANGAON,Devaruppala,Devaruppula,79.36,17.54,01/06/23,3.25
JANGAON,Devaruppala,Singarajupalli,79.27,17.59,01/06/23,5.3
JANGAON,Ganpur_stn,Chagal,79.36,17.84,01/06/23,10.35
JANGAON,Ganpur_stn,Namiligonda,79.4,17.83,01/06/23,1.62
JANGAON,Jangaon,Jangaon,79.15,17.7,01/06/23,4.6
JANGAON,Jangaon,Siddanki,79.1,17.77,01/06/23,10.75
JANGAON,Kodakandla,Kodakandla,79.51,17.53,01/06/23,8.1
JANGAON,Lingalaghanpur,Jeedikal,79.16,17.61,01/06/23,7.3
JANGAON,Lingalaghanpur,Lingala ghanpur,79.2,17.66,01/06/23,6.31
JANGAON,Lingalaghanpur,Vadicherla,79.24,17.66,01/06/23,2.65
JANGAON,Narmetta,Machupahad,79.22,17.87,01/06/23,7.08
JANGAON,Narmetta,Veldanda,79.12,17.86,01/06/23,4.85
JANGAON,Palakurthi,Gudur,79.41,17.74,01/06/23,3.65
JANGAON,Palakurthi,Palakurthi,79.42,17.67,01/06/23,9.27
JANGAON,Raghunathpalle,Ibrahimpur,79.23,17.76,01/06/23,7.7
JANGAON,Raghunathpalle,Nidigonda,79.23,17.73,01/06/23,4.9
JANGAON,Raghunathpalle,Raghunadhapalli,79.26,17.76,01/06/23,9.8
JANGAON,Tharigoppula,Tarigopulla,79.18,17.94,01/06/23,9.5
JANGAON,Zaffergadh,Kunur,79.48,17.85,01/06/23,12.34
JANGAON,Zaffergadh,Zafergad,79.49,17.77,01/06/23,7.7
JOGULAMBA(GADWAL),Alampur,Alampur,78.12,15.9,01/06/23,3.57
JOGULAMBA(GADWAL),Dharur,Dharoor,77.68,16.22,01/06/23,5.58
JOGULAMBA(GADWAL),Dharur,Neelahally,77.64,16.27,01/06/23,8.72
JOGULAMBA(GADWAL),Gadwal,Gadwal,77.8,16.23,01/06/23,2.49
JOGULAMBA(GADWAL),Ghattu,Allor,77.63,16.18,01/06/23,10.02
JOGULAMBA(GADWAL),Ghattu,Gattu,77.58,16.13,01/06/23,4.33
JOGULAMBA(GADWAL),Ghattu,Induvasi,77.52,16.04,01/06/23,4.41
JOGULAMBA(GADWAL),Aiza,Eklaspur,77.65,16.05,01/06/23,3.8
